R311 | 2026-05-30 | 代码提交 | ScoreSys未提交变更 | 8个commit清理完毕，仓库已clean
R310 | 2026-05-30 | 规划 | V17.0新批次TODO | 7条:未提交变更+Fold4异常+低IC因子+权重不稳定+Acceleration评估+V2.0跟进+文档同步
R304 | 2026-05-29 | 规划 | 规划模式新批次TODO | 识别daily_health_check归档+V2.0 WIP+Acceleration未激活，6条TODO待评审
R303 | 2026-05-29 | 调研 | 实盘交易接口调研 | QMT篮子委托最适合ScoreSys，聚宽备选，优矿天软不推荐
R302 | 2026-05-29 | 维护 | 沪深300基准对比修复 | benchmark默认code改为sh000300，超额从-12.18%改善到-5.60%，基准数据已正确
R301 | 2026-05-29 | 回测 | V16.8回测引擎验证 | drawdown+benchmark模式通过,完整区间+45.66%/夏普1.332/回撤9.59%,超额-13.14%,V16.8显著弱于V15.9需排查参数差异
R300 | 2026-05-29 | 维护 | ScoreSys changelog整理 | CHANGELOG.md创建完成,commit278bcd7,V15.2→V16.8版本时间线
R299 | 2026-05-28 | 诊断 | AccelerationScorer IC分析 | IC=-0.028(负+弱)全因子唯一负值,保持禁用不启用权重
R298 | 2026-05-28 | 回测 | V16.8回测引擎验证 | backtest+drawdown模式通过,benchmark基准数据akshare兼容性问题待修,commit09ec5a0
R297 | 2026-05-28 | 规划 | TODO产出 | 4条新TODO+subagent评审完成
R296 | 2026-05-28 | 方案 | ScoreSys回测引擎增强 | 4模块:分层回测+换手率+最大回撤+基准对比,待用户审批后实施
R295 | 2026-05-28 | 调研 | 动量加速度+偏度因子 | AccelerationScorer已实现但未启用权重,SkewnessScorer需全新开发,互补性分析完成
R294 | 2026-05-28 | 探测 | 数据源健康度 | 腾讯/新浪/Tushare直连OK,AkShare双失败,DB1.5GB健康
R293 | 2026-05-28 | 规划 | 新批次TODO | 7条→4条(删1合1降1改1)，subagent评审通过
R287 | 2026-05-28 | 维护 | 环境健康检查 | 日检通过+信号69h未更新(代理离线)+ScoreSys变更已提交R292
R286 | 2026-05-28 | 诊断 | BfM SSE稳定性 | clash-verge主进程从5-27起持续缺失,port7897连续3天不可用,问题从间歇崩溃恶化为持续离线;BfM代码已有重连能力,根因在代理层非BfM层
R285 | 2026-05-26 | 分析 | BfM SSE服务端架构完善，TODO#4根因是clash-verge代理崩溃
R284 | 2026-05-26 | 分析 | BfM SSE稳定性 | clash-verge崩溃需用户处理，BfM端自动重连待批准
R283 | 2026-05-26 | 产出 | TODO清理 | #2#3标记完成，#4留给用户
R282 | 2026-05-26 | 配置 | 信号自动推送 | daily_health_check.py配Windows计划任务每日18:00运行+--push推送，手动触发测试通过
R281 | 2026-05-26 | 调研 | GitHub量化因子库 | 6个因子库(WorldQuant101/Alpha191/Qlib/AKShare/FactorHub/Tushare)，ScoreSys 9因子覆盖度87.8%，推荐移植P0波动率+流动性因子
R280 | 2026-05-26 | 分析 | 因子IC衰减半衰期 | 9因子跨regime IC统计+稳定性排名+权重调整建议，profitability在choppy regime IC=-0.3674需降至0
R279 | 2026-05-26 | 部署 | 日检脚本 | daily_health_check.py验证通过+部署到ScoreSys/+git commit 23797d1
R278 | 2026-05-26 | 分析 | PCA因子合成 | PC1=质量+价值(53%), PC2=动量vs估值(20%), 合成因子IC绝对值低75%但稳定性提升4倍
R277 | 2026-05-25 | 工程 | fusion_picker_v2代码审查 | 可运行, 综合7/10, P0:默认DB路径错误+stocks表不存在, P1:硬编码阈值+regime=crash_sharp需确认
R276 | 2026-05-25 | 分析 | ScoreSys因子IC衰减分析 | 9因子1-5d IC衰减:反转/盈利性/估值IC增强(+200%~318%),换手率衰减58%,动量/成长性IC为负需检查方向,10d+数据不足
R275 | 2026-05-25 | 产出 | V15.2实盘模拟信号生成 | 流水线验证通过,404信号(23重点),V15.2权重稳定运行
R274 | 2026-05-25 | 产出 | proxy_health代理稳定性9天综合分析 | clash-verge自5-23起每日崩溃，port7897可用率38%，Google完全不可达
R273 | 2026-05-25 | 产出 | ScoreSys min_score参数扫描 | 20-60结果一致+13.75%/0.811，70骤降至+3.45%，根因：评分最高69.6存在天花板效应
R272 | 2026-05-25 | 代码 | ScoreSys V15.2权重IC验证 | 8/8 regime全部改善，平均IC +0.0103→+0.1156 (+0.1052)，负IC因子反转策略有效
R271 | 2026-05-25 | 规划 | 新批次TODO产出与subagent评审 | 产出6条TODO，subagent确认BfM SSE已修复(删除1条)，新增2条，最终7条待执行
R263 | 2026-05-25 | 环境 | scikit-learn/statsmodels在ScoreSys中的应用探测 | scipy.spearmanr与手写_spearman完全一致(差异0)，可替换；OLS/Ridge/Lasso/PCA/Kendall tau均可用
R262 | 2026-05-25 | 代码 | 微信Bot空except修复 | 修复5个空except为except Exception+注释，git commit 6cca6c1
R48 | 2026-05-24 | 规划 | R48+新批次TODO产出 | 7条新TODO已写入TODO.txt，subagent评审完成
R47 | 2026-05-18 | 产出 | file_monitor.py集成到项目工作流 | 完成基础统计分析并生成报告
R46 | 2026-05-18 | 产出 | ScoreSys回测结果深度分析 | 完成基础统计分析并生成报告
R45 | 2026-05-18 | Token使用量统计分析 | 完成基础统计分析并生成报告
R42 | 2026-05-06 | 记忆 | L3 SOP时效性审查 | 31个文件全部通过，无过时引用，报告R44已写入
R41 | 2026-05-06 | 产出 | BfM EventBus压力测试 | 6种配置全部0%丢失，发布率28k-83k/s远超目标1000/s，报告R41已写入
R40 | 2026-05-06 | 记忆 | L3 SOP文件时效性审查 | 审查15个SOP+18个关键路径，31个文件全部通过，无过时引用，报告R40已写入
R39 | 2026-05-06 | 环境 | D:/Tools Firefox隐私工具探测 | Firefox 150.0.1已安装，firefox-privacy工具齐全(user.js 77行/setup.bat/EXTENSIONS.md)，cleanup含PATH清理脚本，报告R39已写入
R38 | 2026-05-06 | 产出 | GA Token使用量统计分析 | 3天3441次API调用，费用¥12.87(2.5折)，报告R38已写入
R37 | 2026-05-06 | 规划 | 任务规划 | 产出6条新TODO+历史批判分析，识别5个失败模式
R36 | 2026-05-06 | 产出 | 任务规划 | 历史分析后产出5条高价值TODO(数据补录/IC修复/BfM合并/polars重写/记忆审查)，删除2条低价值
R35 | 2026-05-06 | 产出 | BfM SSE端到端验证 | 行情数据411条/30秒正常推送，pipeline_summary正常，全链路验证通过
R34 | 2026-05-06 | 产出 | AnnualScorer覆盖缺口补全 | 36个测试，utils.py 44%→95%，总覆盖90%→93%，282全过
R33 | 2026-05-06 | 产出 | BfM SSE_BROADCAST集成测试 | 9个测试覆盖全链路(market_data/news/pipeline→Consumer→SSE_BROADCAST)，全部通过
R32 | 2026-05-06 | 规划 | 新批次TODO | 批判分析history，产出6条新TODO(BfM集成测试/AnnualScorer/目录探测/SSE验证/记忆审查)
R31 | 2026-05-06 | 产出 | subagent调度SOP | 新增场景3(调度模式)：决策框架+input构造+结果解析+错误处理
R30 | 2026-05-06 | 记忆 | ScoreSys记忆时效性审查 | 2项过时记录已修正，R18/R19/R20诊断建议全部已实施
R29 | 2026-05-06 | 环境 | 项目TODO/CHANGELOG完整性检查 | 3个真实项目均有git+README，缺CHANGELOG和TODO，2个IDE目录可忽略
R28 | 2026-05-06 | 产出 | ScoreSys pytest测试用例 | 新增28个测试(行业中性化/金融豁免/边界值)，修复4个已有测试，66全部通过
R27 | 2026-05-06 | 记忆 | 整理BfM实时流SOP | 同步EventBus修复内容，新增关键配置表格+2条常见坑，更新Git记录
R24 | 2026-05-06 | 产出 | token_stats定时任务 | 创建token_daily_stats.json，每日23:00自动统计
R23 | 2026-05-06 | 环境 | ScoreSys __pycache__清理 | 删除37个.pyc文件，释放647KB
